Model,ThresholdLabel,Threshold,Sensitivity,Specificity,Accuracy,PPV,NPV,F1,Youden,AUC,AUPRC,TN,FP,FN,TP
LDA+TabPFN Voting,default_0.5,0.5,0.9117647058823529,0.7727272727272727,0.8571428571428571,0.8611111111111112,0.85,0.8857142857142857,0.6844919786096257,0.9144385026737968,0.9435175520880611,17,5,3,31
LDA+TabPFN Voting,Youden,0.46903656667475935,0.9117647058823529,0.7727272727272727,0.8571428571428571,0.8611111111111112,0.85,0.8857142857142857,0.6844919786096257,0.9144385026737968,0.9435175520880611,17,5,3,31
LDA+TabPFN Voting,Sens90,0.05557337422820934,1.0,0.13636363636363635,0.6607142857142857,0.6415094339622641,1.0,0.7816091954022989,0.13636363636363624,0.9144385026737968,0.9435175520880611,3,19,0,34
LDA+TabPFN Voting,Spec90,0.6267389690162409,0.7941176470588235,0.8181818181818182,0.8035714285714286,0.8709677419354839,0.72,0.8307692307692308,0.6122994652406417,0.9144385026737968,0.9435175520880611,18,4,7,27
LDA+TabPFN Voting,MaxF1,0.46903656667475935,0.9117647058823529,0.7727272727272727,0.8571428571428571,0.8611111111111112,0.85,0.8857142857142857,0.6844919786096257,0.9144385026737968,0.9435175520880611,17,5,3,31
LDA+TabPFN Voting,Chosen,0.46903656667475935,0.9117647058823529,0.7727272727272727,0.8571428571428571,0.8611111111111112,0.85,0.8857142857142857,0.6844919786096257,0.9144385026737968,0.9435175520880611,17,5,3,31
LDA+TabPFN Voting,Low,0.05557337422820934,1.0,0.13636363636363635,0.6607142857142857,0.6415094339622641,1.0,0.7816091954022989,0.13636363636363624,0.9144385026737968,0.9435175520880611,3,19,0,34
LDA+TabPFN Voting,High,0.6267389690162409,0.7941176470588235,0.8181818181818182,0.8035714285714286,0.8709677419354839,0.72,0.8307692307692308,0.6122994652406417,0.9144385026737968,0.9435175520880611,18,4,7,27
