,Cohen's d
Age,0.04594668050984819
SS,-0.15210301751010738
Upper_VB_Posterior_Height_CM,0.1925505479136807
Lower_VB_Posterior_Height_CM,0.26010449054646423
Months_of_Review,-0.4652335319241926
Initial_volume,0.8777122465445635
RSI,0.5099308049162529
DHI,-0.017932848376135426
Pfirrmann,0.019718772997798607
Komori,0.895643195957765
MSU,0.5270564937985792
